step,total_steps,loss,ppl
1,3096,9.1308,9235
2,3096,8.8220,6782
3,3096,8.8067,6679
4,3096,8.7928,6587
5,3096,8.7143,6090
6,3096,8.7101,6064
7,3096,8.6611,5774
8,3096,8.5697,5270
9,3096,8.5573,5205
10,3096,8.5499,5166
50,3096,7.5138,1833
100,3096,6.5208,679
150,3096,5.8270,339
200,3096,4.9320,139
250,3096,4.4909,89
300,3096,4.0035,55
350,3096,3.8588,47
400,3096,3.3409,28
450,3096,3.3877,30
500,3096,3.0071,20
550,3096,3.0557,21
600,3096,2.8064,17
650,3096,2.7746,16
700,3096,2.5723,13
750,3096,2.6283,14
800,3096,2.6128,14
850,3096,2.4817,12
900,3096,2.5234,12
950,3096,2.3292,10
1000,3096,2.2809,10
1050,3096,2.2862,10
1100,3096,2.3554,11
1150,3096,2.2462,9
1200,3096,2.0918,8
1250,3096,2.2578,10
1300,3096,2.2418,9
1350,3096,2.0777,8
1400,3096,2.2215,9
1450,3096,2.2822,10
1500,3096,2.0437,8
1550,3096,1.9452,7
1600,3096,1.9738,7
1650,3096,2.0528,8
1700,3096,1.8944,7
1750,3096,2.0514,8
1800,3096,1.9704,7
1850,3096,1.9969,7
1900,3096,1.8542,6
1950,3096,1.9057,7
2000,3096,1.8448,6
2050,3096,1.8731,7
2100,3096,2.0310,8
2150,3096,1.7383,6
2200,3096,1.7768,6
2250,3096,1.8837,7
2300,3096,1.8712,6
2350,3096,1.8726,7
2400,3096,1.8488,6
2450,3096,1.8884,7
2500,3096,1.9730,7
2550,3096,1.9568,7
2600,3096,1.9014,7
2650,3096,1.7925,6
2700,3096,1.6713,5
2750,3096,1.8257,6
2800,3096,1.7885,6
2850,3096,1.8053,6
2900,3096,1.7027,5
2950,3096,1.5508,5
3000,3096,1.7757,6
3050,3096,1.6375,5
