step,total_steps,loss,ppl
1,3096,9.1402,9322
2,3096,8.8896,7256
3,3096,8.9030,7354
4,3096,8.9395,7627
5,3096,8.8685,7105
6,3096,8.8191,6762
7,3096,8.7438,6272
8,3096,8.7394,6244
9,3096,8.7199,6123
10,3096,8.6042,5455
50,3096,7.7400,2299
100,3096,6.9949,1091
150,3096,6.5042,668
200,3096,5.8478,346
250,3096,5.4156,225
300,3096,5.1907,180
350,3096,4.9831,146
400,3096,4.5625,96
450,3096,4.2466,70
500,3096,4.3079,74
550,3096,3.9873,54
600,3096,3.7191,41
650,3096,3.6815,40
700,3096,3.7458,42
750,3096,3.5901,36
800,3096,3.6063,37
850,3096,3.6549,39
900,3096,3.4978,33
950,3096,3.4009,30
1000,3096,3.4437,31
1050,3096,3.2020,25
1100,3096,3.2695,26
1150,3096,3.1062,22
1200,3096,3.1639,24
1250,3096,3.2578,26
1300,3096,3.0679,21
1350,3096,3.0804,22
1400,3096,3.2393,26
1450,3096,3.0847,22
1500,3096,3.0362,21
1550,3096,2.8878,18
1600,3096,2.5824,13
1650,3096,3.0005,20
1700,3096,2.7378,15
1750,3096,2.6720,14
1800,3096,2.6850,15
1850,3096,2.7562,16
1900,3096,2.6784,15
1950,3096,2.5806,13
2000,3096,2.6915,15
2050,3096,2.5388,13
2100,3096,2.8024,16
2150,3096,2.7035,15
2200,3096,2.6289,14
2250,3096,2.5747,13
2300,3096,2.6280,14
2350,3096,2.7090,15
2400,3096,2.6518,14
2450,3096,2.4704,12
2500,3096,2.6490,14
2550,3096,2.7951,16
2600,3096,2.6923,15
2650,3096,2.4768,12
2700,3096,2.4885,12
2750,3096,2.7165,15
2800,3096,2.3955,11
2850,3096,2.5789,13
2900,3096,2.4566,12
2950,3096,2.4175,11
3000,3096,2.2415,9
3050,3096,2.4625,12
