step,total_steps,loss,ppl
1,3096,9.1143,9084
2,3096,8.9165,7454
3,3096,8.9528,7729
4,3096,8.9323,7573
5,3096,8.8775,7169
6,3096,8.7713,6446
7,3096,8.7450,6279
8,3096,8.6376,5640
9,3096,8.6189,5536
10,3096,8.6315,5605
50,3096,7.5147,1835
100,3096,6.5306,686
150,3096,5.5380,254
200,3096,5.0202,151
250,3096,4.4497,86
300,3096,4.0867,60
350,3096,3.6008,37
400,3096,3.3987,30
450,3096,3.4877,33
500,3096,3.1810,24
550,3096,3.0317,21
600,3096,2.8536,17
650,3096,2.7377,15
700,3096,2.5717,13
750,3096,2.6450,14
800,3096,2.6363,14
850,3096,2.4328,11
900,3096,2.2928,10
950,3096,2.3403,10
1000,3096,2.4898,12
1050,3096,2.3538,11
1100,3096,2.4601,12
1150,3096,2.3259,10
1200,3096,2.0785,8
1250,3096,2.1646,9
1300,3096,2.2654,10
1350,3096,2.1579,9
1400,3096,2.1769,9
1450,3096,2.2258,9
1500,3096,1.9014,7
1550,3096,1.9825,7
1600,3096,1.9955,7
1650,3096,1.8860,7
1700,3096,2.0030,7
1750,3096,2.0401,8
1800,3096,1.8991,7
1850,3096,1.7801,6
1900,3096,2.0081,7
1950,3096,1.8218,6
2000,3096,2.1442,9
2050,3096,2.0130,7
2100,3096,2.0596,8
2150,3096,2.1266,8
2200,3096,1.9030,7
2250,3096,1.8019,6
2300,3096,1.9211,7
2350,3096,1.7013,5
2400,3096,1.8577,6
2450,3096,1.9437,7
2500,3096,1.7591,6
2550,3096,1.9264,7
2600,3096,1.8233,6
2650,3096,1.6494,5
2700,3096,1.8069,6
2750,3096,1.8412,6
2800,3096,1.7621,6
2850,3096,1.5507,5
2900,3096,1.6776,5
2950,3096,1.6170,5
3000,3096,1.6626,5
3050,3096,1.6246,5
