step,total_steps,loss,ppl
1,3096,9.1461,9378
2,3096,8.9095,7402
3,3096,8.8750,7151
4,3096,8.8982,7319
5,3096,8.8426,6923
6,3096,8.8061,6675
7,3096,8.7978,6620
8,3096,8.7174,6109
9,3096,8.6935,5964
10,3096,8.6232,5559
50,3096,7.5752,1949
100,3096,6.8882,981
150,3096,6.4837,654
200,3096,5.6815,293
250,3096,5.2079,183
300,3096,4.7315,113
350,3096,4.0390,57
400,3096,4.5596,96
450,3096,4.4207,83
500,3096,4.1547,64
550,3096,3.5142,34
600,3096,4.0368,57
650,3096,3.0911,22
700,3096,3.2981,27
750,3096,3.2168,25
800,3096,2.8235,17
850,3096,3.0694,22
900,3096,3.3709,29
950,3096,3.0491,21
1000,3096,2.8198,17
1050,3096,3.3212,28
1100,3096,3.3350,28
1150,3096,2.5214,12
1200,3096,2.6043,14
1250,3096,2.8877,18
1300,3096,2.6012,13
1350,3096,3.2758,26
1400,3096,2.3111,10
1450,3096,2.9776,20
1500,3096,2.4651,12
1550,3096,2.2695,10
1600,3096,2.9753,20
1650,3096,2.4499,12
1700,3096,2.7703,16
1750,3096,2.2580,10
1800,3096,2.3350,10
1850,3096,3.0464,21
1900,3096,2.1127,8
1950,3096,2.3528,11
2000,3096,2.4185,11
2050,3096,2.3867,11
2100,3096,2.9031,18
2150,3096,2.3543,11
2200,3096,2.7348,15
2250,3096,2.1786,9
2300,3096,2.5800,13
2350,3096,3.0108,20
2400,3096,2.5564,13
2450,3096,2.2387,9
2500,3096,2.3987,11
2550,3096,2.3226,10
2600,3096,2.2894,10
2650,3096,2.8406,17
2700,3096,2.4961,12
2750,3096,2.8418,17
2800,3096,1.8131,6
2850,3096,1.8841,7
2900,3096,2.3476,10
2950,3096,2.1808,9
3000,3096,2.2005,9
3050,3096,1.9065,7
