
=======================================================
SINGLE-GPU TRAINING: data/mixed/ratio_60_40.jsonl
  41,550 texts → 13,352,529 tokens
=======================================================
  98,591,232 params | 3096 steps | bs=8x1024 | 2 epochs | LR=0.0005
  step     1/3096 | loss=9.1049 ppl=8999 | 5K tok/s
  step     2/3096 | loss=8.8868 ppl=7235 | 7K tok/s
  step     3/3096 | loss=8.8353 ppl=6873 | 9K tok/s
  step     4/3096 | loss=8.8568 ppl=7022 | 10K tok/s
  step     5/3096 | loss=8.9412 ppl=7640 | 10K tok/s
  step     6/3096 | loss=8.7850 ppl=6535 | 11K tok/s
  step     7/3096 | loss=8.8104 ppl=6703 | 11K tok/s
  step     8/3096 | loss=8.7182 ppl=6113 | 11K tok/s
  step     9/3096 | loss=8.7071 ppl=6046 | 12K tok/s
  step    10/3096 | loss=8.6375 ppl=5639 | 12K tok/s
  step    50/3096 | loss=7.9242 ppl=2763 | 13K tok/s
  step   100/3096 | loss=7.3282 ppl=1523 | 14K tok/s
  step   150/3096 | loss=6.6635 ppl=783 | 14K tok/s
  step   200/3096 | loss=6.2056 ppl=495 | 14K tok/s
  step   250/3096 | loss=5.9527 ppl=385 | 14K tok/s
  step   300/3096 | loss=5.3697 ppl=215 | 14K tok/s
  step   350/3096 | loss=5.2400 ppl=189 | 14K tok/s
  step   400/3096 | loss=5.1537 ppl=173 | 14K tok/s
  step   450/3096 | loss=4.9366 ppl=139 | 14K tok/s
  step   500/3096 | loss=4.2677 ppl=71 | 14K tok/s
  step   550/3096 | loss=4.5225 ppl=92 | 14K tok/s
  step   600/3096 | loss=4.1792 ppl=65 | 14K tok/s
  step   650/3096 | loss=3.7919 ppl=44 | 14K tok/s
  step   700/3096 | loss=4.1689 ppl=65 | 14K tok/s
  step   750/3096 | loss=4.0847 ppl=59 | 14K tok/s
  step   800/3096 | loss=3.8014 ppl=45 | 14K tok/s
  step   850/3096 | loss=3.2725 ppl=26 | 14K tok/s
  step   900/3096 | loss=3.7291 ppl=42 | 14K tok/s
  step   950/3096 | loss=3.7778 ppl=44 | 14K tok/s
  step  1000/3096 | loss=3.9570 ppl=52 | 14K tok/s
  step  1050/3096 | loss=4.0562 ppl=58 | 14K tok/s
  step  1100/3096 | loss=3.2630 ppl=26 | 14K tok/s
  step  1150/3096 | loss=3.7900 ppl=44 | 14K tok/s
  step  1200/3096 | loss=2.5048 ppl=12 | 14K tok/s
  step  1250/3096 | loss=3.0806 ppl=22 | 14K tok/s
  step  1300/3096 | loss=3.9621 ppl=53 | 14K tok/s
  step  1350/3096 | loss=3.0947 ppl=22 | 14K tok/s
  step  1400/3096 | loss=3.3055 ppl=27 | 14K tok/s
  step  1450/3096 | loss=3.3263 ppl=28 | 14K tok/s
  step  1500/3096 | loss=3.5847 ppl=36 | 14K tok/s
  step  1550/3096 | loss=3.5967 ppl=36 | 14K tok/s
  step  1600/3096 | loss=2.4553 ppl=12 | 14K tok/s
  step  1650/3096 | loss=3.4424 ppl=31 | 14K tok/s
  step  1700/3096 | loss=2.5676 ppl=13 | 14K tok/s
  step  1750/3096 | loss=2.9982 ppl=20 | 14K tok/s
  step  1800/3096 | loss=2.9043 ppl=18 | 14K tok/s
  step  1850/3096 | loss=3.3683 ppl=29 | 14K tok/s
  step  1900/3096 | loss=3.2783 ppl=27 | 14K tok/s
  step  1950/3096 | loss=2.7499 ppl=16 | 14K tok/s
  step  2000/3096 | loss=3.5625 ppl=35 | 14K tok/s
  step  2050/3096 | loss=2.8975 ppl=18 | 14K tok/s
  step  2100/3096 | loss=2.7405 ppl=15 | 14K tok/s
  step  2150/3096 | loss=2.0917 ppl=8 | 14K tok/s
  step  2200/3096 | loss=3.0266 ppl=21 | 14K tok/s
  step  2250/3096 | loss=3.1856 ppl=24 | 14K tok/s
  step  2300/3096 | loss=2.7044 ppl=15 | 14K tok/s
  step  2350/3096 | loss=3.2991 ppl=27 | 14K tok/s
  step  2400/3096 | loss=3.4172 ppl=30 | 14K tok/s
  step  2450/3096 | loss=3.0831 ppl=22 | 14K tok/s
  step  2500/3096 | loss=3.4966 ppl=33 | 14K tok/s
  step  2550/3096 | loss=2.7275 ppl=15 | 14K tok/s
  step  2600/3096 | loss=3.1594 ppl=24 | 14K tok/s
  step  2650/3096 | loss=2.9005 ppl=18 | 14K tok/s
  step  2700/3096 | loss=2.7860 ppl=16 | 14K tok/s
  step  2750/3096 | loss=2.5645 ppl=13 | 14K tok/s
  step  2800/3096 | loss=2.9748 ppl=20 | 14K tok/s
  step  2850/3096 | loss=2.9246 ppl=19 | 14K tok/s
  step  2900/3096 | loss=2.8256 ppl=17 | 14K tok/s
  step  2950/3096 | loss=2.0731 ppl=8 | 14K tok/s
  step  3000/3096 | loss=2.1468 ppl=9 | 14K tok/s
  step  3050/3096 | loss=2.0605 ppl=8 | 14K tok/s

=======================================================
DONE: checkpoints/mix_60_40.pt
  VAL PPL: 12 | 31.0min | 14K tok/s
  Checkpoint: checkpoints/mix_60_40.pt (0.4GB)
=======================================================
