step,total_steps,loss,ppl
1,5412,9.1385,9307
2,5412,8.8473,6956
3,5412,8.9010,7339
4,5412,8.8520,6988
5,5412,8.8120,6714
6,5412,8.7655,6409
7,5412,8.7495,6307
8,5412,8.7294,6182
9,5412,8.6690,5820
10,5412,8.6294,5593
50,5412,7.8374,2534
100,5412,6.8645,958
150,5412,6.1087,450
200,5412,5.7688,320
250,5412,4.9334,139
300,5412,4.4075,82
350,5412,4.0988,60
400,5412,3.8609,48
450,5412,3.6153,37
500,5412,3.4076,30
550,5412,3.1199,23
600,5412,3.0539,21
650,5412,2.9917,20
700,5412,2.9372,19
750,5412,2.8545,17
800,5412,2.8404,17
850,5412,2.6719,14
900,5412,2.5662,13
950,5412,2.4863,12
1000,5412,2.2207,9
1050,5412,2.3811,11
1100,5412,2.3042,10
1150,5412,2.5564,13
1200,5412,2.3238,10
1250,5412,2.1571,9
1300,5412,2.1159,8
1350,5412,2.2063,9
1400,5412,2.1182,8
1450,5412,2.0160,8
1500,5412,2.0608,8
1550,5412,2.1534,9
1600,5412,2.1248,8
1650,5412,2.1708,9
1700,5412,2.1089,8
1750,5412,2.0908,8
1800,5412,2.0689,8
1850,5412,2.0326,8
1900,5412,2.0328,8
1950,5412,2.0288,8
2000,5412,2.0044,7
2050,5412,1.9913,7
2100,5412,2.0221,8
2150,5412,2.0019,7
2200,5412,1.8897,7
2250,5412,2.0025,7
2300,5412,1.9530,7
2350,5412,2.0094,7
2400,5412,1.9309,7
2450,5412,1.8674,6
2500,5412,1.9709,7
2550,5412,1.7473,6
2600,5412,2.0483,8
2650,5412,1.9338,7
2700,5412,1.7882,6
2750,5412,1.6855,5
2800,5412,1.7506,6
2850,5412,1.5165,5
2900,5412,1.7907,6
2950,5412,1.7540,6
3000,5412,2.0668,8
3050,5412,1.8144,6
3100,5412,1.7757,6
3150,5412,1.6433,5
3200,5412,1.8353,6
3250,5412,1.5832,5
3300,5412,1.6726,5
3350,5412,1.6856,5
3400,5412,1.7823,6
3450,5412,1.7856,6
3500,5412,1.6454,5
3550,5412,1.5986,5
3600,5412,1.6980,5
3650,5412,1.7101,6
3700,5412,1.7763,6
3750,5412,1.7097,6
3800,5412,1.5954,5
3850,5412,1.6725,5
3900,5412,1.6851,5
3950,5412,1.6755,5
4000,5412,1.7698,6
4050,5412,1.5985,5
4100,5412,1.7487,6
4150,5412,1.6830,5
4200,5412,1.6189,5
4250,5412,1.6590,5
4300,5412,1.8137,6
4350,5412,1.7172,6
4400,5412,1.6600,5
4450,5412,1.5933,5
4500,5412,1.7108,6
4550,5412,1.6699,5
4600,5412,1.7458,6
4650,5412,1.6600,5
4700,5412,1.7333,6
4750,5412,1.8377,6
4800,5412,1.5690,5
4850,5412,1.7849,6
4900,5412,1.6322,5
4950,5412,1.4952,4
5000,5412,1.5628,5
5050,5412,1.6627,5
5100,5412,1.6411,5
5150,5412,1.5437,5
5200,5412,1.6185,5
5250,5412,1.5442,5
5300,5412,1.5161,5
5350,5412,1.5074,5
5400,5412,1.5603,5
