
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  98,591,232 params | 5412 steps | bs=8x1024 | 2 epochs | LR=0.0005
  step     1/5412 | loss=9.1385 ppl=9307 | 4K tok/s
  step     2/5412 | loss=8.8473 ppl=6956 | 6K tok/s
  step     3/5412 | loss=8.9010 ppl=7339 | 7K tok/s
  step     4/5412 | loss=8.8520 ppl=6988 | 8K tok/s
  step     5/5412 | loss=8.8120 ppl=6714 | 9K tok/s
  step     6/5412 | loss=8.7655 ppl=6409 | 10K tok/s
  step     7/5412 | loss=8.7495 ppl=6307 | 10K tok/s
  step     8/5412 | loss=8.7294 ppl=6182 | 11K tok/s
  step     9/5412 | loss=8.6690 ppl=5820 | 11K tok/s
  step    10/5412 | loss=8.6294 ppl=5593 | 11K tok/s
  step    50/5412 | loss=7.8374 ppl=2534 | 13K tok/s
  step   100/5412 | loss=6.8645 ppl=958 | 14K tok/s
  step   150/5412 | loss=6.1087 ppl=450 | 14K tok/s
  step   200/5412 | loss=5.7688 ppl=320 | 14K tok/s
  step   250/5412 | loss=4.9334 ppl=139 | 14K tok/s
  step   300/5412 | loss=4.4075 ppl=82 | 14K tok/s
  step   350/5412 | loss=4.0988 ppl=60 | 14K tok/s
  step   400/5412 | loss=3.8609 ppl=48 | 14K tok/s
  step   450/5412 | loss=3.6153 ppl=37 | 14K tok/s
  step   500/5412 | loss=3.4076 ppl=30 | 14K tok/s
  step   550/5412 | loss=3.1199 ppl=23 | 14K tok/s
  step   600/5412 | loss=3.0539 ppl=21 | 14K tok/s
  step   650/5412 | loss=2.9917 ppl=20 | 14K tok/s
  step   700/5412 | loss=2.9372 ppl=19 | 14K tok/s
  step   750/5412 | loss=2.8545 ppl=17 | 14K tok/s
  step   800/5412 | loss=2.8404 ppl=17 | 14K tok/s
  step   850/5412 | loss=2.6719 ppl=14 | 14K tok/s
  step   900/5412 | loss=2.5662 ppl=13 | 14K tok/s
  step   950/5412 | loss=2.4863 ppl=12 | 14K tok/s
  step  1000/5412 | loss=2.2207 ppl=9 | 14K tok/s
  step  1050/5412 | loss=2.3811 ppl=11 | 14K tok/s
  step  1100/5412 | loss=2.3042 ppl=10 | 14K tok/s
  step  1150/5412 | loss=2.5564 ppl=13 | 14K tok/s
  step  1200/5412 | loss=2.3238 ppl=10 | 14K tok/s
  step  1250/5412 | loss=2.1571 ppl=9 | 14K tok/s
  step  1300/5412 | loss=2.1159 ppl=8 | 14K tok/s
  step  1350/5412 | loss=2.2063 ppl=9 | 14K tok/s
