
=======================================================
SINGLE-GPU TRAINING: data/exp/full_80_20_rw.jsonl
  103,282 texts → 29,172,217 tokens
=======================================================
  98,591,232 params | 6764 steps | bs=8x1024 | 2 epochs | LR=0.0005
  step     1/6764 | loss=9.1344 ppl=9269 | 5K tok/s
  step     2/6764 | loss=8.8746 ppl=7148 | 7K tok/s
  step     3/6764 | loss=8.8488 ppl=6966 | 8K tok/s
  step     4/6764 | loss=8.8284 ppl=6826 | 9K tok/s
  step     5/6764 | loss=8.8085 ppl=6691 | 10K tok/s
  step     6/6764 | loss=8.8881 ppl=7245 | 11K tok/s
  step     7/6764 | loss=8.7186 ppl=6116 | 11K tok/s
  step     8/6764 | loss=8.6985 ppl=5994 | 11K tok/s
  step     9/6764 | loss=8.7555 ppl=6345 | 11K tok/s
  step    10/6764 | loss=8.7488 ppl=6303 | 12K tok/s
  step    50/6764 | loss=8.0415 ppl=3107 | 13K tok/s
  step   100/6764 | loss=7.2047 ppl=1346 | 14K tok/s
  step   150/6764 | loss=6.5990 ppl=734 | 14K tok/s
  step   200/6764 | loss=5.8193 ppl=337 | 14K tok/s
  step   250/6764 | loss=5.7335 ppl=309 | 14K tok/s
  step   300/6764 | loss=5.2578 ppl=192 | 14K tok/s
  step   350/6764 | loss=4.4797 ppl=88 | 14K tok/s
  step   400/6764 | loss=4.5113 ppl=91 | 14K tok/s
  step   450/6764 | loss=4.1992 ppl=67 | 14K tok/s
  step   500/6764 | loss=4.0762 ppl=59 | 14K tok/s
  step   550/6764 | loss=3.9403 ppl=51 | 14K tok/s
  step   600/6764 | loss=3.6250 ppl=38 | 14K tok/s
  step   650/6764 | loss=3.5366 ppl=34 | 14K tok/s
  step   700/6764 | loss=3.5129 ppl=34 | 14K tok/s
  step   750/6764 | loss=3.2843 ppl=27 | 14K tok/s
  step   800/6764 | loss=3.2480 ppl=26 | 14K tok/s
  step   850/6764 | loss=3.0629 ppl=21 | 14K tok/s
  step   900/6764 | loss=2.9503 ppl=19 | 14K tok/s
  step   950/6764 | loss=2.9166 ppl=18 | 14K tok/s
  step  1000/6764 | loss=2.7927 ppl=16 | 14K tok/s
  step  1050/6764 | loss=2.6881 ppl=15 | 14K tok/s
  step  1100/6764 | loss=2.9384 ppl=19 | 14K tok/s
  step  1150/6764 | loss=2.4432 ppl=12 | 14K tok/s
  step  1200/6764 | loss=2.8919 ppl=18 | 14K tok/s
  step  1250/6764 | loss=2.6589 ppl=14 | 14K tok/s
  step  1300/6764 | loss=2.9391 ppl=19 | 14K tok/s
  step  1350/6764 | loss=2.7657 ppl=16 | 14K tok/s
  step  1400/6764 | loss=3.1969 ppl=24 | 14K tok/s
  step  1450/6764 | loss=2.5900 ppl=13 | 14K tok/s
  step  1500/6764 | loss=2.9473 ppl=19 | 14K tok/s
  step  1550/6764 | loss=2.7614 ppl=16 | 14K tok/s
  step  1600/6764 | loss=2.8140 ppl=17 | 14K tok/s
  step  1650/6764 | loss=2.4761 ppl=12 | 14K tok/s
