
=======================================================
SINGLE-GPU TRAINING: data/mixed/ratio_100_0.jsonl
  49,987 texts → 13,350,010 tokens
=======================================================
  98,591,232 params | 12384 steps | bs=8x1024 | 8 epochs | LR=0.0005
  step     1/12384 | loss=9.1143 ppl=9084 | 5K tok/s
  step     2/12384 | loss=8.9165 ppl=7454 | 7K tok/s
  step     3/12384 | loss=8.9614 ppl=7797 | 9K tok/s
  step     4/12384 | loss=8.9605 ppl=7789 | 10K tok/s
  step     5/12384 | loss=8.9337 ppl=7584 | 10K tok/s
  step     6/12384 | loss=8.8712 ppl=7124 | 11K tok/s
  step     7/12384 | loss=8.8807 ppl=7192 | 11K tok/s
  step     8/12384 | loss=8.8168 ppl=6746 | 11K tok/s
  step     9/12384 | loss=8.8274 ppl=6818 | 11K tok/s
  step    10/12384 | loss=8.8216 ppl=6779 | 12K tok/s
  step    50/12384 | loss=8.1822 ppl=3577 | 13K tok/s
  step   100/12384 | loss=7.4505 ppl=1721 | 13K tok/s
  step   150/12384 | loss=6.5816 ppl=722 | 14K tok/s
  step   200/12384 | loss=6.2225 ppl=504 | 13K tok/s
  step   250/12384 | loss=5.6851 ppl=294 | 13K tok/s
  step   300/12384 | loss=5.2933 ppl=199 | 13K tok/s
  step   350/12384 | loss=4.8183 ppl=124 | 13K tok/s
  step   400/12384 | loss=4.5707 ppl=97 | 13K tok/s
  step   450/12384 | loss=4.5636 ppl=96 | 13K tok/s
  step   500/12384 | loss=4.2200 ppl=68 | 13K tok/s
  step   550/12384 | loss=3.9725 ppl=53 | 13K tok/s
  step   600/12384 | loss=3.7210 ppl=41 | 13K tok/s
  step   650/12384 | loss=3.4645 ppl=32 | 13K tok/s
  step   700/12384 | loss=3.2080 ppl=25 | 13K tok/s
  step   750/12384 | loss=3.2756 ppl=26 | 13K tok/s
  step   800/12384 | loss=3.2498 ppl=26 | 13K tok/s
  step   850/12384 | loss=2.8885 ppl=18 | 13K tok/s
  step   900/12384 | loss=2.7118 ppl=15 | 13K tok/s
  step   950/12384 | loss=2.7357 ppl=15 | 13K tok/s
  step  1000/12384 | loss=2.8597 ppl=17 | 13K tok/s
  step  1050/12384 | loss=2.7209 ppl=15 | 13K tok/s
  step  1100/12384 | loss=2.7789 ppl=16 | 13K tok/s
  step  1150/12384 | loss=2.6137 ppl=14 | 13K tok/s
  step  1200/12384 | loss=2.3448 ppl=10 | 13K tok/s
  step  1250/12384 | loss=2.4251 ppl=11 | 13K tok/s
  step  1300/12384 | loss=2.5080 ppl=12 | 13K tok/s
  step  1350/12384 | loss=2.3828 ppl=11 | 13K tok/s
  step  1400/12384 | loss=2.3786 ppl=11 | 13K tok/s
  step  1450/12384 | loss=2.4221 ppl=11 | 13K tok/s
  step  1500/12384 | loss=2.0835 ppl=8 | 13K tok/s
  step  1550/12384 | loss=2.1917 ppl=9 | 13K tok/s
  step  1600/12384 | loss=2.1977 ppl=9 | 13K tok/s
