
=======================================================
SINGLE-GPU TRAINING: data/exp/mix13m_80_20_rw.jsonl
  47,274 texts → 13,350,391 tokens
=======================================================
  98,591,232 params | 12384 steps | bs=8x1024 | 8 epochs | LR=0.0005
  step     1/12384 | loss=9.1199 ppl=9136 | 5K tok/s
  step     2/12384 | loss=8.7980 ppl=6621 | 7K tok/s
  step     3/12384 | loss=8.8759 ppl=7157 | 9K tok/s
  step     4/12384 | loss=8.7838 ppl=6528 | 9K tok/s
  step     5/12384 | loss=8.8368 ppl=6883 | 10K tok/s
  step     6/12384 | loss=8.8386 ppl=6895 | 11K tok/s
  step     7/12384 | loss=8.8146 ppl=6732 | 11K tok/s
  step     8/12384 | loss=8.7888 ppl=6560 | 11K tok/s
  step     9/12384 | loss=8.7411 ppl=6255 | 11K tok/s
  step    10/12384 | loss=8.7823 ppl=6518 | 12K tok/s
  step    50/12384 | loss=8.2602 ppl=3867 | 13K tok/s
  step   100/12384 | loss=7.5230 ppl=1850 | 13K tok/s
  step   150/12384 | loss=6.8251 ppl=921 | 13K tok/s
  step   200/12384 | loss=6.4574 ppl=637 | 13K tok/s
  step   250/12384 | loss=6.0667 ppl=431 | 13K tok/s
  step   300/12384 | loss=5.9238 ppl=374 | 13K tok/s
  step   350/12384 | loss=5.4931 ppl=243 | 13K tok/s
  step   400/12384 | loss=5.0677 ppl=159 | 13K tok/s
  step   450/12384 | loss=4.9079 ppl=135 | 13K tok/s
  step   500/12384 | loss=4.8489 ppl=128 | 13K tok/s
  step   550/12384 | loss=4.1646 ppl=64 | 13K tok/s
  step   600/12384 | loss=4.3319 ppl=76 | 13K tok/s
  step   650/12384 | loss=4.1125 ppl=61 | 13K tok/s
  step   700/12384 | loss=3.6793 ppl=40 | 13K tok/s
  step   750/12384 | loss=3.4599 ppl=32 | 13K tok/s
  step   800/12384 | loss=3.6307 ppl=38 | 13K tok/s
  step   850/12384 | loss=3.3476 ppl=28 | 13K tok/s
  step   900/12384 | loss=2.9271 ppl=19 | 13K tok/s
  step   950/12384 | loss=3.4476 ppl=31 | 13K tok/s
  step  1000/12384 | loss=3.3612 ppl=29 | 13K tok/s
  step  1050/12384 | loss=3.0393 ppl=21 | 13K tok/s
  step  1100/12384 | loss=2.8141 ppl=17 | 14K tok/s
  step  1150/12384 | loss=2.9412 ppl=19 | 14K tok/s
  step  1200/12384 | loss=2.7146 ppl=15 | 14K tok/s
  step  1250/12384 | loss=2.8857 ppl=18 | 14K tok/s
  step  1300/12384 | loss=2.8898 ppl=18 | 14K tok/s
  step  1350/12384 | loss=3.0256 ppl=21 | 14K tok/s
  step  1400/12384 | loss=2.6881 ppl=15 | 14K tok/s
  step  1450/12384 | loss=2.5912 ppl=13 | 14K tok/s
  step  1500/12384 | loss=2.8730 ppl=18 | 14K tok/s
  step  1550/12384 | loss=2.4302 ppl=11 | 14K tok/s
  step  1600/12384 | loss=2.3433 ppl=10 | 14K tok/s
  step  1650/12384 | loss=2.7963 ppl=16 | 14K tok/s
  step  1700/12384 | loss=2.3974 ppl=11 | 14K tok/s
  step  1750/12384 | loss=2.1742 ppl=9 | 14K tok/s
  step  1800/12384 | loss=2.5131 ppl=12 | 14K tok/s
  step  1850/12384 | loss=2.2819 ppl=10 | 14K tok/s
  step  1900/12384 | loss=2.3684 ppl=11 | 14K tok/s
  step  1950/12384 | loss=2.3850 ppl=11 | 14K tok/s
  step  2000/12384 | loss=2.3441 ppl=10 | 14K tok/s
  step  2050/12384 | loss=2.3314 ppl=10 | 14K tok/s
  step  2100/12384 | loss=2.5421 ppl=13 | 14K tok/s
  step  2150/12384 | loss=2.1676 ppl=9 | 14K tok/s
  step  2200/12384 | loss=2.2351 ppl=9 | 14K tok/s
  step  2250/12384 | loss=2.3372 ppl=10 | 14K tok/s
  step  2300/12384 | loss=2.7914 ppl=16 | 14K tok/s
  step  2350/12384 | loss=2.2148 ppl=9 | 14K tok/s
  step  2400/12384 | loss=2.3722 ppl=11 | 14K tok/s
  step  2450/12384 | loss=2.0510 ppl=8 | 14K tok/s
  step  2500/12384 | loss=2.4617 ppl=12 | 14K tok/s
  step  2550/12384 | loss=2.1452 ppl=9 | 14K tok/s
  step  2600/12384 | loss=2.5775 ppl=13 | 14K tok/s
  step  2650/12384 | loss=2.0938 ppl=8 | 14K tok/s
  step  2700/12384 | loss=2.1576 ppl=9 | 14K tok/s
  step  2750/12384 | loss=2.1751 ppl=9 | 14K tok/s
  step  2800/12384 | loss=2.2561 ppl=10 | 14K tok/s
  step  2850/12384 | loss=2.0077 ppl=7 | 14K tok/s
  step  2900/12384 | loss=2.4430 ppl=12 | 14K tok/s
  step  2950/12384 | loss=2.1444 ppl=9 | 14K tok/s
  step  3000/12384 | loss=2.0309 ppl=8 | 14K tok/s
  step  3050/12384 | loss=2.2461 ppl=9 | 14K tok/s
  step  3100/12384 | loss=1.9071 ppl=7 | 14K tok/s
  step  3150/12384 | loss=1.7510 ppl=6 | 14K tok/s
  step  3200/12384 | loss=2.1577 ppl=9 | 14K tok/s
  step  3250/12384 | loss=1.8360 ppl=6 | 14K tok/s
  step  3300/12384 | loss=1.9467 ppl=7 | 14K tok/s
  step  3350/12384 | loss=1.8833 ppl=7 | 14K tok/s
  step  3400/12384 | loss=1.9907 ppl=7 | 14K tok/s
  step  3450/12384 | loss=1.9694 ppl=7 | 14K tok/s
  step  3500/12384 | loss=1.9307 ppl=7 | 14K tok/s
  step  3550/12384 | loss=2.1944 ppl=9 | 14K tok/s
  step  3600/12384 | loss=2.0685 ppl=8 | 14K tok/s
  step  3650/12384 | loss=1.8815 ppl=7 | 14K tok/s
  step  3700/12384 | loss=1.9764 ppl=7 | 14K tok/s
  step  3750/12384 | loss=1.6627 ppl=5 | 14K tok/s
  step  3800/12384 | loss=2.0887 ppl=8 | 14K tok/s
  step  3850/12384 | loss=2.0330 ppl=8 | 14K tok/s
  step  3900/12384 | loss=1.9879 ppl=7 | 14K tok/s
  step  3950/12384 | loss=1.8392 ppl=6 | 14K tok/s
  step  4000/12384 | loss=1.9379 ppl=7 | 14K tok/s
  step  4050/12384 | loss=2.0284 ppl=8 | 14K tok/s
  step  4100/12384 | loss=1.9520 ppl=7 | 14K tok/s
  step  4150/12384 | loss=1.8023 ppl=6 | 14K tok/s
  step  4200/12384 | loss=1.9780 ppl=7 | 14K tok/s
  step  4250/12384 | loss=2.0104 ppl=7 | 14K tok/s
  step  4300/12384 | loss=1.8451 ppl=6 | 14K tok/s
  step  4350/12384 | loss=2.3757 ppl=11 | 14K tok/s
  step  4400/12384 | loss=1.8467 ppl=6 | 14K tok/s
  step  4450/12384 | loss=2.1062 ppl=8 | 14K tok/s
  step  4500/12384 | loss=1.8393 ppl=6 | 14K tok/s
  step  4550/12384 | loss=1.8674 ppl=6 | 14K tok/s
  step  4600/12384 | loss=1.6332 ppl=5 | 14K tok/s
  step  4650/12384 | loss=1.5577 ppl=5 | 14K tok/s
  step  4700/12384 | loss=1.6116 ppl=5 | 14K tok/s
  step  4750/12384 | loss=1.6199 ppl=5 | 14K tok/s
  step  4800/12384 | loss=1.5237 ppl=5 | 14K tok/s
  step  4850/12384 | loss=1.5082 ppl=5 | 14K tok/s
  step  4900/12384 | loss=1.7610 ppl=6 | 14K tok/s
  step  4950/12384 | loss=1.6934 ppl=5 | 14K tok/s
  step  5000/12384 | loss=1.7814 ppl=6 | 14K tok/s
  step  5050/12384 | loss=1.6101 ppl=5 | 14K tok/s
  step  5100/12384 | loss=1.6402 ppl=5 | 14K tok/s
  step  5150/12384 | loss=1.5921 ppl=5 | 14K tok/s
  step  5200/12384 | loss=1.6356 ppl=5 | 14K tok/s
  step  5250/12384 | loss=1.7938 ppl=6 | 14K tok/s
  step  5300/12384 | loss=1.8508 ppl=6 | 14K tok/s
  step  5350/12384 | loss=1.8029 ppl=6 | 14K tok/s
  step  5400/12384 | loss=1.6901 ppl=5 | 14K tok/s
  step  5450/12384 | loss=1.8170 ppl=6 | 14K tok/s
  step  5500/12384 | loss=1.7092 ppl=6 | 14K tok/s
  step  5550/12384 | loss=1.7133 ppl=6 | 14K tok/s
  step  5600/12384 | loss=1.7771 ppl=6 | 14K tok/s
  step  5650/12384 | loss=1.8152 ppl=6 | 14K tok/s
  step  5700/12384 | loss=1.7823 ppl=6 | 14K tok/s
  step  5750/12384 | loss=1.8310 ppl=6 | 14K tok/s
  step  5800/12384 | loss=1.6449 ppl=5 | 14K tok/s
  step  5850/12384 | loss=1.6636 ppl=5 | 14K tok/s
  step  5900/12384 | loss=1.9239 ppl=7 | 14K tok/s
  step  5950/12384 | loss=1.7650 ppl=6 | 14K tok/s
  step  6000/12384 | loss=1.6163 ppl=5 | 14K tok/s
  step  6050/12384 | loss=1.8515 ppl=6 | 14K tok/s
  step  6100/12384 | loss=1.6365 ppl=5 | 14K tok/s
  step  6150/12384 | loss=1.6717 ppl=5 | 14K tok/s
  step  6200/12384 | loss=1.4412 ppl=4 | 14K tok/s
  step  6250/12384 | loss=1.5986 ppl=5 | 14K tok/s
  step  6300/12384 | loss=1.3446 ppl=4 | 14K tok/s
  step  6350/12384 | loss=1.6220 ppl=5 | 14K tok/s
  step  6400/12384 | loss=1.6094 ppl=5 | 14K tok/s
  step  6450/12384 | loss=1.4570 ppl=4 | 14K tok/s
  step  6500/12384 | loss=1.4017 ppl=4 | 14K tok/s
  step  6550/12384 | loss=1.6845 ppl=5 | 14K tok/s
  step  6600/12384 | loss=1.5036 ppl=4 | 14K tok/s
  step  6650/12384 | loss=1.5747 ppl=5 | 14K tok/s
  step  6700/12384 | loss=1.5201 ppl=5 | 14K tok/s
  step  6750/12384 | loss=1.3988 ppl=4 | 14K tok/s
  step  6800/12384 | loss=1.6175 ppl=5 | 14K tok/s
  step  6850/12384 | loss=1.4065 ppl=4 | 14K tok/s
  step  6900/12384 | loss=1.7130 ppl=6 | 14K tok/s
  step  6950/12384 | loss=1.4452 ppl=4 | 14K tok/s
  step  7000/12384 | loss=1.5531 ppl=5 | 14K tok/s
  step  7050/12384 | loss=1.5433 ppl=5 | 14K tok/s
  step  7100/12384 | loss=1.5784 ppl=5 | 14K tok/s
  step  7150/12384 | loss=1.7354 ppl=6 | 14K tok/s
  step  7200/12384 | loss=1.6287 ppl=5 | 14K tok/s
  step  7250/12384 | loss=1.5919 ppl=5 | 14K tok/s
  step  7300/12384 | loss=1.7346 ppl=6 | 14K tok/s
  step  7350/12384 | loss=1.5422 ppl=5 | 14K tok/s
  step  7400/12384 | loss=1.6628 ppl=5 | 14K tok/s
  step  7450/12384 | loss=1.8157 ppl=6 | 14K tok/s
  step  7500/12384 | loss=1.7262 ppl=6 | 14K tok/s
  step  7550/12384 | loss=1.6048 ppl=5 | 14K tok/s
  step  7600/12384 | loss=1.6459 ppl=5 | 14K tok/s
  step  7650/12384 | loss=1.5724 ppl=5 | 14K tok/s
  step  7700/12384 | loss=1.6761 ppl=5 | 14K tok/s
  step  7750/12384 | loss=1.1624 ppl=3 | 14K tok/s
  step  7800/12384 | loss=1.3955 ppl=4 | 14K tok/s
  step  7850/12384 | loss=1.2842 ppl=4 | 14K tok/s
  step  7900/12384 | loss=1.2748 ppl=4 | 14K tok/s
  step  7950/12384 | loss=1.2396 ppl=3 | 14K tok/s
  step  8000/12384 | loss=1.2578 ppl=4 | 14K tok/s
  step  8050/12384 | loss=1.3817 ppl=4 | 14K tok/s
  step  8100/12384 | loss=1.4929 ppl=4 | 14K tok/s
  step  8150/12384 | loss=1.3236 ppl=4 | 14K tok/s
  step  8200/12384 | loss=1.5266 ppl=5 | 14K tok/s
  step  8250/12384 | loss=1.3013 ppl=4 | 14K tok/s
  step  8300/12384 | loss=1.4203 ppl=4 | 14K tok/s
  step  8350/12384 | loss=1.4328 ppl=4 | 14K tok/s
  step  8400/12384 | loss=1.2753 ppl=4 | 14K tok/s
  step  8450/12384 | loss=1.2731 ppl=4 | 14K tok/s
  step  8500/12384 | loss=1.4487 ppl=4 | 14K tok/s
