step,total_steps,loss,ppl
1,3096,9.1360,9283
2,3096,8.9084,7394
3,3096,8.8821,7202
4,3096,8.8685,7105
5,3096,8.8360,6878
6,3096,8.7601,6375
7,3096,8.7687,6430
8,3096,8.6732,5844
9,3096,8.7249,6154
10,3096,8.6298,5596
50,3096,7.7469,2314
100,3096,6.9272,1020
150,3096,6.3924,597
200,3096,5.6708,290
250,3096,5.3607,213
300,3096,4.9250,138
350,3096,4.7015,110
400,3096,4.3559,78
450,3096,4.0496,57
500,3096,4.0642,58
550,3096,3.7820,44
600,3096,3.8068,45
650,3096,3.7394,42
700,3096,3.4941,33
750,3096,3.5945,36
800,3096,3.5127,34
850,3096,3.0222,21
900,3096,3.3856,30
950,3096,3.1338,23
1000,3096,3.1570,23
1050,3096,3.1564,23
1100,3096,3.0172,20
1150,3096,3.1546,23
1200,3096,2.8725,18
1250,3096,2.8257,17
1300,3096,2.8204,17
1350,3096,3.0337,21
1400,3096,3.0857,22
1450,3096,2.7357,15
1500,3096,2.6926,15
1550,3096,2.6321,14
1600,3096,2.4893,12
1650,3096,2.6348,14
1700,3096,2.5967,13
1750,3096,2.5181,12
1800,3096,2.8004,16
1850,3096,2.5603,13
1900,3096,2.5037,12
1950,3096,2.5232,12
2000,3096,2.5739,13
2050,3096,2.4742,12
2100,3096,2.3308,10
2150,3096,2.5595,13
2200,3096,2.6207,14
2250,3096,2.6230,14
2300,3096,2.5695,13
2350,3096,2.6728,14
2400,3096,2.6683,14
2450,3096,2.1940,9
2500,3096,2.0640,8
2550,3096,2.4051,11
2600,3096,2.5219,12
2650,3096,2.1952,9
2700,3096,2.2829,10
2750,3096,2.4659,12
2800,3096,2.3184,10
2850,3096,2.2948,10
2900,3096,2.2128,9
2950,3096,2.0106,7
3000,3096,2.0509,8
3050,3096,2.1376,8
