step,total_steps,loss,ppl
1,10824,9.1140,9082
2,10824,9.0515,8532
3,10824,8.7922,6582
4,10824,8.9221,7496
5,10824,8.9499,7707
6,10824,8.8548,7008
7,10824,8.8032,6655
8,10824,8.7750,6471
9,10824,8.7194,6121
10,10824,8.6817,5894
50,10824,8.1428,3439
100,10824,7.4271,1681
150,10824,6.6099,742
200,10824,6.4480,631
250,10824,6.1059,448
300,10824,5.6809,293
350,10824,5.1921,180
400,10824,4.7249,113
450,10824,4.8177,124
500,10824,4.6817,108
550,10824,3.9369,51
600,10824,4.3119,75
650,10824,3.8164,45
700,10824,3.7045,41
750,10824,3.6413,38
800,10824,3.3819,29
850,10824,3.1286,23
900,10824,3.2205,25
950,10824,3.3065,27
1000,10824,3.2579,26
1050,10824,3.1112,22
1100,10824,2.9616,19
1150,10824,3.0808,22
1200,10824,2.7976,16
1250,10824,2.4273,11
1300,10824,2.6359,14
1350,10824,2.7421,16
1400,10824,2.4517,12
1450,10824,2.9207,19
1500,10824,2.7652,16
1550,10824,2.8582,17
1600,10824,2.4344,11
1650,10824,2.4896,12
1700,10824,2.5278,13
1750,10824,2.6952,15
1800,10824,2.0364,8
1850,10824,2.3641,11
1900,10824,2.3065,10
1950,10824,2.2269,9
2000,10824,2.6294,14
2050,10824,2.1309,8
2100,10824,2.2333,9
2150,10824,2.3427,10
2200,10824,2.3134,10
2250,10824,2.4257,11
2300,10824,2.0055,7
2350,10824,2.3483,10
2400,10824,1.9987,7
2450,10824,2.0406,8
2500,10824,1.9786,7
2550,10824,2.2792,10
2600,10824,2.1077,8
2650,10824,2.2625,10
2700,10824,2.0778,8
2750,10824,1.9856,7
2800,10824,2.0153,8
2850,10824,2.2330,9
2900,10824,2.2365,9
2950,10824,2.1405,9
3000,10824,2.0430,8
3050,10824,2.1386,8
3100,10824,1.6913,5
3150,10824,2.1564,9
3200,10824,1.9591,7
3250,10824,2.0777,8
3300,10824,1.8248,6
3350,10824,2.0904,8
3400,10824,2.2124,9
3450,10824,2.0133,7
3500,10824,1.8912,7
3550,10824,1.9656,7
3600,10824,2.0694,8
3650,10824,1.9399,7
3700,10824,1.8653,6
3750,10824,1.8740,7
3800,10824,1.6988,5
3850,10824,1.8809,7
3900,10824,2.5124,12
3950,10824,1.8997,7
4000,10824,1.8485,6
4050,10824,2.0067,7
4100,10824,1.8127,6
4150,10824,2.0471,8
4200,10824,1.7011,5
4250,10824,2.0239,8
4300,10824,1.5370,5
4350,10824,1.7132,6
4400,10824,1.6693,5
4450,10824,2.1447,9
4500,10824,1.9573,7
4550,10824,1.9215,7
4600,10824,1.8995,7
4650,10824,1.9633,7
4700,10824,2.0315,8
4750,10824,1.8938,7
4800,10824,1.9867,7
4850,10824,2.1697,9
4900,10824,1.7837,6
4950,10824,1.9948,7
5000,10824,1.9823,7
5050,10824,1.9594,7
5100,10824,1.8320,6
5150,10824,2.1329,8
5200,10824,1.7440,6
5250,10824,1.7434,6
5300,10824,1.7066,6
5350,10824,2.0381,8
5400,10824,1.9070,7
5450,10824,2.0321,8
5500,10824,1.4464,4
5550,10824,1.5620,5
5600,10824,1.7665,6
5650,10824,1.8176,6
5700,10824,1.7649,6
5750,10824,1.7465,6
5800,10824,1.5955,5
5850,10824,1.7571,6
5900,10824,1.8231,6
5950,10824,1.6780,5
6000,10824,1.7037,5
6050,10824,1.5210,5
6100,10824,1.6656,5
6150,10824,1.8910,7
6200,10824,1.7641,6
6250,10824,1.8549,6
6300,10824,1.6204,5
6350,10824,1.8682,6
6400,10824,1.8916,7
6450,10824,1.8001,6
6500,10824,1.7416,6
6550,10824,1.9458,7
6600,10824,1.8141,6
6650,10824,1.7044,5
6700,10824,1.7525,6
6750,10824,1.7400,6
6800,10824,1.6568,5
6850,10824,1.6551,5
6900,10824,1.7311,6
6950,10824,1.6865,5
7000,10824,1.6961,5
7050,10824,1.6114,5
7100,10824,1.6673,5
7150,10824,1.6513,5
7200,10824,1.7297,6
7250,10824,1.5982,5
7300,10824,1.7354,6
7350,10824,1.8025,6
7400,10824,1.7369,6
7450,10824,1.7567,6
7500,10824,1.8169,6
7550,10824,1.6001,5
7600,10824,1.9384,7
7650,10824,1.7597,6
7700,10824,1.5460,5
7750,10824,1.7438,6
7800,10824,1.8573,6
7850,10824,1.7564,6
7900,10824,1.6642,5
7950,10824,1.5340,5
8000,10824,1.7729,6
8050,10824,1.6693,5
8100,10824,1.7577,6
8150,10824,1.6189,5
8200,10824,1.5532,5
8250,10824,1.9064,7
8300,10824,1.8916,7
8350,10824,1.7949,6
8400,10824,1.7637,6
8450,10824,1.6941,5
8500,10824,1.5847,5
8550,10824,1.7965,6
8600,10824,1.8210,6
8650,10824,1.8378,6
8700,10824,1.6889,5
8750,10824,1.7740,6
8800,10824,1.4154,4
8850,10824,1.7328,6
8900,10824,1.6692,5
8950,10824,1.5670,5
9000,10824,1.6161,5
9050,10824,1.6194,5
9100,10824,1.6872,5
9150,10824,1.6937,5
9200,10824,1.8676,6
9250,10824,1.8701,6
9300,10824,1.6485,5
9350,10824,1.6907,5
9400,10824,1.7669,6
9450,10824,1.6618,5
9500,10824,1.6985,5
9550,10824,1.6978,5
9600,10824,1.6566,5
9650,10824,1.6689,5
9700,10824,1.7271,6
9750,10824,1.3952,4
9800,10824,1.6549,5
9850,10824,1.3005,4
9900,10824,1.6423,5
9950,10824,1.6321,5
10000,10824,1.3705,4
10050,10824,1.4603,4
10100,10824,1.4923,4
10150,10824,1.6328,5
10200,10824,1.5740,5
10250,10824,1.3378,4
10300,10824,1.3688,4
10350,10824,1.5249,5
10400,10824,1.4877,4
10450,10824,1.7734,6
10500,10824,1.3306,4
10550,10824,1.4911,4
10600,10824,1.6551,5
10650,10824,1.5197,5
10700,10824,1.5111,5
10750,10824,1.4474,4
10800,10824,1.5944,5
