
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  192,987,648 params | 10824 steps | bs=4x1024 | 2 epochs | LR=0.0005
  step     1/10824 | loss=9.1140 ppl=9082 | 2K tok/s
  step     2/10824 | loss=9.0515 ppl=8532 | 4K tok/s
  step     3/10824 | loss=8.7922 ppl=6582 | 4K tok/s
  step     4/10824 | loss=8.9221 ppl=7496 | 5K tok/s
  step     5/10824 | loss=8.9499 ppl=7707 | 5K tok/s
  step     6/10824 | loss=8.8548 ppl=7008 | 5K tok/s
  step     7/10824 | loss=8.8032 ppl=6655 | 5K tok/s
  step     8/10824 | loss=8.7750 ppl=6471 | 5K tok/s
  step     9/10824 | loss=8.7194 ppl=6121 | 6K tok/s
  step    10/10824 | loss=8.6817 ppl=5894 | 6K tok/s
  step    50/10824 | loss=8.1428 ppl=3439 | 6K tok/s
  step   100/10824 | loss=7.4271 ppl=1681 | 6K tok/s
  step   150/10824 | loss=6.6099 ppl=742 | 6K tok/s
  step   200/10824 | loss=6.4480 ppl=631 | 6K tok/s
  step   250/10824 | loss=6.1059 ppl=448 | 6K tok/s
  step   300/10824 | loss=5.6809 ppl=293 | 6K tok/s
  step   350/10824 | loss=5.1921 ppl=180 | 6K tok/s
  step   400/10824 | loss=4.7249 ppl=113 | 6K tok/s
  step   450/10824 | loss=4.8177 ppl=124 | 6K tok/s
  step   500/10824 | loss=4.6817 ppl=108 | 6K tok/s
  step   550/10824 | loss=3.9369 ppl=51 | 6K tok/s
  step   600/10824 | loss=4.3119 ppl=75 | 6K tok/s
  step   650/10824 | loss=3.8164 ppl=45 | 6K tok/s
  step   700/10824 | loss=3.7045 ppl=41 | 6K tok/s
  step   750/10824 | loss=3.6413 ppl=38 | 6K tok/s
  step   800/10824 | loss=3.3819 ppl=29 | 6K tok/s
  step   850/10824 | loss=3.1286 ppl=23 | 6K tok/s
  step   900/10824 | loss=3.2205 ppl=25 | 6K tok/s
  step   950/10824 | loss=3.3065 ppl=27 | 6K tok/s
  step  1000/10824 | loss=3.2579 ppl=26 | 6K tok/s
  step  1050/10824 | loss=3.1112 ppl=22 | 6K tok/s
  step  1100/10824 | loss=2.9616 ppl=19 | 6K tok/s
  step  1150/10824 | loss=3.0808 ppl=22 | 6K tok/s
  step  1200/10824 | loss=2.7976 ppl=16 | 6K tok/s
  step  1250/10824 | loss=2.4273 ppl=11 | 6K tok/s
  step  1300/10824 | loss=2.6359 ppl=14 | 6K tok/s
  step  1350/10824 | loss=2.7421 ppl=16 | 6K tok/s
  step  1400/10824 | loss=2.4517 ppl=12 | 6K tok/s
  step  1450/10824 | loss=2.9207 ppl=19 | 6K tok/s
  step  1500/10824 | loss=2.7652 ppl=16 | 6K tok/s
  step  1550/10824 | loss=2.8582 ppl=17 | 6K tok/s
  step  1600/10824 | loss=2.4344 ppl=11 | 6K tok/s
  step  1650/10824 | loss=2.4896 ppl=12 | 6K tok/s
  step  1700/10824 | loss=2.5278 ppl=13 | 6K tok/s
  step  1750/10824 | loss=2.6952 ppl=15 | 6K tok/s
  step  1800/10824 | loss=2.0364 ppl=8 | 6K tok/s
  step  1850/10824 | loss=2.3641 ppl=11 | 6K tok/s
  step  1900/10824 | loss=2.3065 ppl=10 | 6K tok/s
  step  1950/10824 | loss=2.2269 ppl=9 | 6K tok/s
  step  2000/10824 | loss=2.6294 ppl=14 | 6K tok/s
  step  2050/10824 | loss=2.1309 ppl=8 | 6K tok/s
  step  2100/10824 | loss=2.2333 ppl=9 | 6K tok/s
  step  2150/10824 | loss=2.3427 ppl=10 | 6K tok/s
  step  2200/10824 | loss=2.3134 ppl=10 | 6K tok/s
  step  2250/10824 | loss=2.4257 ppl=11 | 6K tok/s
  step  2300/10824 | loss=2.0055 ppl=7 | 6K tok/s
  step  2350/10824 | loss=2.3483 ppl=10 | 6K tok/s
  step  2400/10824 | loss=1.9987 ppl=7 | 6K tok/s
  step  2450/10824 | loss=2.0406 ppl=8 | 6K tok/s
  step  2500/10824 | loss=1.9786 ppl=7 | 6K tok/s
  step  2550/10824 | loss=2.2792 ppl=10 | 6K tok/s
  step  2600/10824 | loss=2.1077 ppl=8 | 6K tok/s
  step  2650/10824 | loss=2.2625 ppl=10 | 6K tok/s
  step  2700/10824 | loss=2.0778 ppl=8 | 6K tok/s
  step  2750/10824 | loss=1.9856 ppl=7 | 6K tok/s
  step  2800/10824 | loss=2.0153 ppl=8 | 6K tok/s
  step  2850/10824 | loss=2.2330 ppl=9 | 6K tok/s
  step  2900/10824 | loss=2.2365 ppl=9 | 6K tok/s
  step  2950/10824 | loss=2.1405 ppl=9 | 6K tok/s
  step  3000/10824 | loss=2.0430 ppl=8 | 6K tok/s
  step  3050/10824 | loss=2.1386 ppl=8 | 6K tok/s
  step  3100/10824 | loss=1.6913 ppl=5 | 6K tok/s
  step  3150/10824 | loss=2.1564 ppl=9 | 6K tok/s
  step  3200/10824 | loss=1.9591 ppl=7 | 6K tok/s
  step  3250/10824 | loss=2.0777 ppl=8 | 6K tok/s
  step  3300/10824 | loss=1.8248 ppl=6 | 6K tok/s
  step  3350/10824 | loss=2.0904 ppl=8 | 6K tok/s
  step  3400/10824 | loss=2.2124 ppl=9 | 6K tok/s
  step  3450/10824 | loss=2.0133 ppl=7 | 6K tok/s
  step  3500/10824 | loss=1.8912 ppl=7 | 6K tok/s
  step  3550/10824 | loss=1.9656 ppl=7 | 6K tok/s
  step  3600/10824 | loss=2.0694 ppl=8 | 6K tok/s
  step  3650/10824 | loss=1.9399 ppl=7 | 6K tok/s
  step  3700/10824 | loss=1.8653 ppl=6 | 6K tok/s
  step  3750/10824 | loss=1.8740 ppl=7 | 6K tok/s
  step  3800/10824 | loss=1.6988 ppl=5 | 6K tok/s
  step  3850/10824 | loss=1.8809 ppl=7 | 6K tok/s
  step  3900/10824 | loss=2.5124 ppl=12 | 6K tok/s
  step  3950/10824 | loss=1.8997 ppl=7 | 6K tok/s
  step  4000/10824 | loss=1.8485 ppl=6 | 6K tok/s
  step  4050/10824 | loss=2.0067 ppl=7 | 6K tok/s
  step  4100/10824 | loss=1.8127 ppl=6 | 6K tok/s
