step,total_steps,loss,ppl
1,10824,9.2100,9997
2,10824,8.6608,5772
3,10824,8.5225,5027
4,10824,8.5748,5296
5,10824,8.5776,5311
6,10824,8.5585,5211
7,10824,8.6156,5517
8,10824,8.5443,5137
9,10824,8.5872,5362
10,10824,8.4562,4704
50,10824,7.5852,1969
100,10824,6.8629,956
150,10824,5.8563,349
200,10824,5.3756,216
250,10824,5.2297,187
300,10824,4.7260,113
350,10824,4.5914,99
400,10824,4.4565,86
450,10824,4.3372,76
500,10824,3.8606,47
550,10824,3.8890,49
600,10824,3.7618,43
650,10824,3.5181,34
700,10824,3.5711,36
750,10824,3.0937,22
800,10824,2.9924,20
850,10824,2.7656,16
900,10824,3.3175,28
950,10824,2.9171,18
1000,10824,2.8146,17
1050,10824,2.6278,14
1100,10824,2.6920,15
1150,10824,2.7744,16
1200,10824,2.8858,18
1250,10824,2.7336,15
1300,10824,2.5620,13
1350,10824,2.7334,15
1400,10824,2.5456,13
1450,10824,2.5565,13
1500,10824,2.4442,12
1550,10824,2.6156,14
1600,10824,2.4856,12
1650,10824,2.0971,8
1700,10824,2.6934,15
1750,10824,2.0659,8
1800,10824,2.3237,10
1850,10824,2.3102,10
1900,10824,2.4316,11
1950,10824,2.2586,10
2000,10824,2.2334,9
2050,10824,2.2586,10
2100,10824,2.2259,9
2150,10824,2.4728,12
2200,10824,2.1643,9
2250,10824,1.9691,7
2300,10824,2.3235,10
2350,10824,2.0711,8
2400,10824,1.9975,7
2450,10824,2.1807,9
2500,10824,2.1941,9
2550,10824,2.0078,7
2600,10824,2.0362,8
2650,10824,1.9785,7
2700,10824,2.1978,9
2750,10824,2.2413,9
2800,10824,2.3035,10
2850,10824,2.2649,10
2900,10824,1.9186,7
2950,10824,2.0641,8
3000,10824,1.9267,7
3050,10824,2.0179,8
3100,10824,2.1741,9
3150,10824,2.2284,9
3200,10824,2.2127,9
3250,10824,2.0130,7
3300,10824,2.2263,9
3350,10824,1.8969,7
3400,10824,2.0503,8
3450,10824,1.9611,7
3500,10824,1.9148,7
3550,10824,2.0461,8
3600,10824,2.2190,9
3650,10824,2.2777,10
3700,10824,1.8399,6
3750,10824,1.9499,7
3800,10824,1.9456,7
3850,10824,1.8027,6
3900,10824,1.8930,7
3950,10824,1.9172,7
4000,10824,2.0305,8
4050,10824,1.7857,6
4100,10824,1.5958,5
4150,10824,2.0263,8
4200,10824,2.1938,9
4250,10824,1.9802,7
