
=======================================================
SINGLE-GPU TRAINING: data/exp/full_distill.jsonl
  87,395 texts → 23,337,509 tokens
=======================================================
  206,599,168 params | 10824 steps | bs=4x1024 | 2 epochs | LR=0.0005
  step     1/10824 | loss=9.2100 ppl=9997 | 3K tok/s
  step     2/10824 | loss=8.6608 ppl=5772 | 4K tok/s
  step     3/10824 | loss=8.5225 ppl=5027 | 5K tok/s
  step     4/10824 | loss=8.5748 ppl=5296 | 6K tok/s
  step     5/10824 | loss=8.5776 ppl=5311 | 6K tok/s
  step     6/10824 | loss=8.5585 ppl=5211 | 6K tok/s
  step     7/10824 | loss=8.6156 ppl=5517 | 7K tok/s
  step     8/10824 | loss=8.5443 ppl=5137 | 7K tok/s
  step     9/10824 | loss=8.5872 ppl=5362 | 7K tok/s
  step    10/10824 | loss=8.4562 ppl=4704 | 7K tok/s
  step    50/10824 | loss=7.5852 ppl=1969 | 8K tok/s
  step   100/10824 | loss=6.8629 ppl=956 | 8K tok/s
  step   150/10824 | loss=5.8563 ppl=349 | 9K tok/s
  step   200/10824 | loss=5.3756 ppl=216 | 9K tok/s
  step   250/10824 | loss=5.2297 ppl=187 | 9K tok/s
  step   300/10824 | loss=4.7260 ppl=113 | 9K tok/s
  step   350/10824 | loss=4.5914 ppl=99 | 9K tok/s
  step   400/10824 | loss=4.4565 ppl=86 | 9K tok/s
  step   450/10824 | loss=4.3372 ppl=76 | 9K tok/s
  step   500/10824 | loss=3.8606 ppl=47 | 9K tok/s
  step   550/10824 | loss=3.8890 ppl=49 | 9K tok/s
  step   600/10824 | loss=3.7618 ppl=43 | 9K tok/s
  step   650/10824 | loss=3.5181 ppl=34 | 9K tok/s
  step   700/10824 | loss=3.5711 ppl=36 | 9K tok/s
  step   750/10824 | loss=3.0937 ppl=22 | 9K tok/s
  step   800/10824 | loss=2.9924 ppl=20 | 9K tok/s
  step   850/10824 | loss=2.7656 ppl=16 | 9K tok/s
  step   900/10824 | loss=3.3175 ppl=28 | 9K tok/s
  step   950/10824 | loss=2.9171 ppl=18 | 9K tok/s
  step  1000/10824 | loss=2.8146 ppl=17 | 9K tok/s
  step  1050/10824 | loss=2.6278 ppl=14 | 9K tok/s
  step  1100/10824 | loss=2.6920 ppl=15 | 9K tok/s
  step  1150/10824 | loss=2.7744 ppl=16 | 9K tok/s
  step  1200/10824 | loss=2.8858 ppl=18 | 9K tok/s
  step  1250/10824 | loss=2.7336 ppl=15 | 9K tok/s
  step  1300/10824 | loss=2.5620 ppl=13 | 9K tok/s
  step  1350/10824 | loss=2.7334 ppl=15 | 9K tok/s
  step  1400/10824 | loss=2.5456 ppl=13 | 9K tok/s
  step  1450/10824 | loss=2.5565 ppl=13 | 9K tok/s
  step  1500/10824 | loss=2.4442 ppl=12 | 9K tok/s
  step  1550/10824 | loss=2.6156 ppl=14 | 9K tok/s
  step  1600/10824 | loss=2.4856 ppl=12 | 9K tok/s
  step  1650/10824 | loss=2.0971 ppl=8 | 9K tok/s
  step  1700/10824 | loss=2.6934 ppl=15 | 9K tok/s
  step  1750/10824 | loss=2.0659 ppl=8 | 9K tok/s
  step  1800/10824 | loss=2.3237 ppl=10 | 9K tok/s
  step  1850/10824 | loss=2.3102 ppl=10 | 9K tok/s
  step  1900/10824 | loss=2.4316 ppl=11 | 9K tok/s
  step  1950/10824 | loss=2.2586 ppl=10 | 9K tok/s
  step  2000/10824 | loss=2.2334 ppl=9 | 9K tok/s
  step  2050/10824 | loss=2.2586 ppl=10 | 9K tok/s
  step  2100/10824 | loss=2.2259 ppl=9 | 9K tok/s
  step  2150/10824 | loss=2.4728 ppl=12 | 9K tok/s
  step  2200/10824 | loss=2.1643 ppl=9 | 9K tok/s
  step  2250/10824 | loss=1.9691 ppl=7 | 9K tok/s
  step  2300/10824 | loss=2.3235 ppl=10 | 9K tok/s
  step  2350/10824 | loss=2.0711 ppl=8 | 9K tok/s
  step  2400/10824 | loss=1.9975 ppl=7 | 9K tok/s
  step  2450/10824 | loss=2.1807 ppl=9 | 9K tok/s
  step  2500/10824 | loss=2.1941 ppl=9 | 9K tok/s
  step  2550/10824 | loss=2.0078 ppl=7 | 9K tok/s
  step  2600/10824 | loss=2.0362 ppl=8 | 9K tok/s
  step  2650/10824 | loss=1.9785 ppl=7 | 9K tok/s
  step  2700/10824 | loss=2.1978 ppl=9 | 9K tok/s
  step  2750/10824 | loss=2.2413 ppl=9 | 9K tok/s
  step  2800/10824 | loss=2.3035 ppl=10 | 9K tok/s
  step  2850/10824 | loss=2.2649 ppl=10 | 9K tok/s
  step  2900/10824 | loss=1.9186 ppl=7 | 9K tok/s
  step  2950/10824 | loss=2.0641 ppl=8 | 9K tok/s
  step  3000/10824 | loss=1.9267 ppl=7 | 9K tok/s
  step  3050/10824 | loss=2.0179 ppl=8 | 9K tok/s
  step  3100/10824 | loss=2.1741 ppl=9 | 9K tok/s
  step  3150/10824 | loss=2.2284 ppl=9 | 9K tok/s
  step  3200/10824 | loss=2.2127 ppl=9 | 9K tok/s
  step  3250/10824 | loss=2.0130 ppl=7 | 9K tok/s
  step  3300/10824 | loss=2.2263 ppl=9 | 9K tok/s
  step  3350/10824 | loss=1.8969 ppl=7 | 9K tok/s
  step  3400/10824 | loss=2.0503 ppl=8 | 9K tok/s
  step  3450/10824 | loss=1.9611 ppl=7 | 9K tok/s
  step  3500/10824 | loss=1.9148 ppl=7 | 9K tok/s
  step  3550/10824 | loss=2.0461 ppl=8 | 9K tok/s
  step  3600/10824 | loss=2.2190 ppl=9 | 9K tok/s
  step  3650/10824 | loss=2.2777 ppl=10 | 9K tok/s
  step  3700/10824 | loss=1.8399 ppl=6 | 9K tok/s
  step  3750/10824 | loss=1.9499 ppl=7 | 9K tok/s
  step  3800/10824 | loss=1.9456 ppl=7 | 9K tok/s
  step  3850/10824 | loss=1.8027 ppl=6 | 9K tok/s
  step  3900/10824 | loss=1.8930 ppl=7 | 9K tok/s
  step  3950/10824 | loss=1.9172 ppl=7 | 9K tok/s
  step  4000/10824 | loss=2.0305 ppl=8 | 9K tok/s
  step  4050/10824 | loss=1.7857 ppl=6 | 9K tok/s
  step  4100/10824 | loss=1.5958 ppl=5 | 9K tok/s
  step  4150/10824 | loss=2.0263 ppl=8 | 9K tok/s
  step  4200/10824 | loss=2.1938 ppl=9 | 9K tok/s
  step  4250/10824 | loss=1.9802 ppl=7 | 9K tok/s
  step  4300/10824 | loss=1.9911 ppl=7 | 9K tok/s
  step  4350/10824 | loss=2.0042 ppl=7 | 9K tok/s
  step  4400/10824 | loss=2.2086 ppl=9 | 9K tok/s
  step  4450/10824 | loss=1.7499 ppl=6 | 9K tok/s
  step  4500/10824 | loss=1.9293 ppl=7 | 9K tok/s
  step  4550/10824 | loss=1.9157 ppl=7 | 9K tok/s
  step  4600/10824 | loss=1.8214 ppl=6 | 9K tok/s
  step  4650/10824 | loss=1.8537 ppl=6 | 9K tok/s
  step  4700/10824 | loss=2.0929 ppl=8 | 9K tok/s
  step  4750/10824 | loss=1.8382 ppl=6 | 9K tok/s
  step  4800/10824 | loss=1.8587 ppl=6 | 9K tok/s
  step  4850/10824 | loss=2.4804 ppl=12 | 9K tok/s
  step  4900/10824 | loss=1.8296 ppl=6 | 9K tok/s
  step  4950/10824 | loss=2.0799 ppl=8 | 9K tok/s
  step  5000/10824 | loss=1.8675 ppl=6 | 9K tok/s
  step  5050/10824 | loss=1.8880 ppl=7 | 9K tok/s
  step  5100/10824 | loss=1.9255 ppl=7 | 9K tok/s
  step  5150/10824 | loss=2.0705 ppl=8 | 9K tok/s
  step  5200/10824 | loss=1.9868 ppl=7 | 9K tok/s
  step  5250/10824 | loss=1.7888 ppl=6 | 9K tok/s
  step  5300/10824 | loss=1.8001 ppl=6 | 9K tok/s
  step  5350/10824 | loss=1.7502 ppl=6 | 9K tok/s
  step  5400/10824 | loss=1.8251 ppl=6 | 9K tok/s
  step  5450/10824 | loss=1.5246 ppl=5 | 9K tok/s
  step  5500/10824 | loss=1.5396 ppl=5 | 9K tok/s
  step  5550/10824 | loss=1.8412 ppl=6 | 9K tok/s
  step  5600/10824 | loss=1.7171 ppl=6 | 9K tok/s
  step  5650/10824 | loss=1.7301 ppl=6 | 9K tok/s
  step  5700/10824 | loss=1.8625 ppl=6 | 9K tok/s
