experiment,step,total_steps,loss,ppl
A_distill_baseline_13M_2ep,1,3096,9.1308,9235
A_distill_baseline_13M_2ep,2,3096,8.8220,6782
A_distill_baseline_13M_2ep,3,3096,8.8067,6679
A_distill_baseline_13M_2ep,4,3096,8.7928,6587
A_distill_baseline_13M_2ep,5,3096,8.7143,6090
A_distill_baseline_13M_2ep,6,3096,8.7101,6064
A_distill_baseline_13M_2ep,7,3096,8.6611,5774
A_distill_baseline_13M_2ep,8,3096,8.5697,5270
A_distill_baseline_13M_2ep,9,3096,8.5573,5205
A_distill_baseline_13M_2ep,10,3096,8.5499,5166
A_distill_baseline_13M_2ep,50,3096,7.5138,1833
A_distill_baseline_13M_2ep,100,3096,6.5208,679
A_distill_baseline_13M_2ep,150,3096,5.8270,339
A_distill_baseline_13M_2ep,200,3096,4.9320,139
A_distill_baseline_13M_2ep,250,3096,4.4909,89
A_distill_baseline_13M_2ep,300,3096,4.0035,55
A_distill_baseline_13M_2ep,350,3096,3.8588,47
A_distill_baseline_13M_2ep,400,3096,3.3409,28
A_distill_baseline_13M_2ep,450,3096,3.3877,30
A_distill_baseline_13M_2ep,500,3096,3.0071,20
A_distill_baseline_13M_2ep,550,3096,3.0557,21
A_distill_baseline_13M_2ep,600,3096,2.8064,17
A_distill_baseline_13M_2ep,650,3096,2.7746,16
A_distill_baseline_13M_2ep,700,3096,2.5723,13
A_distill_baseline_13M_2ep,750,3096,2.6283,14
A_distill_baseline_13M_2ep,800,3096,2.6128,14
A_distill_baseline_13M_2ep,850,3096,2.4817,12
A_distill_baseline_13M_2ep,900,3096,2.5234,12
A_distill_baseline_13M_2ep,950,3096,2.3292,10
A_distill_baseline_13M_2ep,1000,3096,2.2809,10
A_distill_baseline_13M_2ep,1050,3096,2.2862,10
A_distill_baseline_13M_2ep,1100,3096,2.3554,11
A_distill_baseline_13M_2ep,1150,3096,2.2462,9
A_distill_baseline_13M_2ep,1200,3096,2.0918,8
A_distill_baseline_13M_2ep,1250,3096,2.2578,10
A_distill_baseline_13M_2ep,1300,3096,2.2418,9
A_distill_baseline_13M_2ep,1350,3096,2.0777,8
A_distill_baseline_13M_2ep,1400,3096,2.2215,9
A_distill_baseline_13M_2ep,1450,3096,2.2822,10
A_distill_baseline_13M_2ep,1500,3096,2.0437,8
A_distill_baseline_13M_2ep,1550,3096,1.9452,7
A_distill_baseline_13M_2ep,1600,3096,1.9738,7
A_distill_baseline_13M_2ep,1650,3096,2.0528,8
A_distill_baseline_13M_2ep,1700,3096,1.8944,7
A_distill_baseline_13M_2ep,1750,3096,2.0514,8
A_distill_baseline_13M_2ep,1800,3096,1.9704,7
A_distill_baseline_13M_2ep,1850,3096,1.9969,7
A_distill_baseline_13M_2ep,1900,3096,1.8542,6
A_distill_baseline_13M_2ep,1950,3096,1.9057,7
A_distill_baseline_13M_2ep,2000,3096,1.8448,6
A_distill_baseline_13M_2ep,2050,3096,1.8731,7
A_distill_baseline_13M_2ep,2100,3096,2.0310,8
A_distill_baseline_13M_2ep,2150,3096,1.7383,6
A_distill_baseline_13M_2ep,2200,3096,1.7768,6
A_distill_baseline_13M_2ep,2250,3096,1.8837,7
A_distill_baseline_13M_2ep,2300,3096,1.8712,6
A_distill_baseline_13M_2ep,2350,3096,1.8726,7
A_distill_baseline_13M_2ep,2400,3096,1.8488,6
A_distill_baseline_13M_2ep,2450,3096,1.8884,7
A_distill_baseline_13M_2ep,2500,3096,1.9730,7
A_distill_baseline_13M_2ep,2550,3096,1.9568,7
A_distill_baseline_13M_2ep,2600,3096,1.9014,7
A_distill_baseline_13M_2ep,2650,3096,1.7925,6
A_distill_baseline_13M_2ep,2700,3096,1.6713,5
A_distill_baseline_13M_2ep,2750,3096,1.8257,6
A_distill_baseline_13M_2ep,2800,3096,1.7885,6
A_distill_baseline_13M_2ep,2850,3096,1.8053,6
A_distill_baseline_13M_2ep,2900,3096,1.7027,5
A_distill_baseline_13M_2ep,2950,3096,1.5508,5
A_distill_baseline_13M_2ep,3000,3096,1.7757,6
A_distill_baseline_13M_2ep,3050,3096,1.6375,5
B_minimind_13M_2ep,1,3096,9.1402,9322
B_minimind_13M_2ep,2,3096,8.8896,7256
B_minimind_13M_2ep,3,3096,8.9030,7354
B_minimind_13M_2ep,4,3096,8.9395,7627
B_minimind_13M_2ep,5,3096,8.8685,7105
B_minimind_13M_2ep,6,3096,8.8191,6762
B_minimind_13M_2ep,7,3096,8.7438,6272
B_minimind_13M_2ep,8,3096,8.7394,6244
B_minimind_13M_2ep,9,3096,8.7199,6123
B_minimind_13M_2ep,10,3096,8.6042,5455
B_minimind_13M_2ep,50,3096,7.7400,2299
B_minimind_13M_2ep,100,3096,6.9949,1091
